GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_mean
CHN.11.13_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Yichun,Yīchūn,伊春市,Dìjíshì,Prefecture City,NA,NA,0.314618722565025
CHN.12.1_1,CHN,China,CHN.12_1,Henan,河南,Anyang,Ānyáng,安阳市,Dìjíshì,Prefecture City,NA,NA,1.87848129446467
CHN.12.2_1,CHN,China,CHN.12_1,Henan,河南,Hebi,Hèbì,鹤壁市,Dìjíshì,Prefecture City,NA,NA,2.06712958616604
CHN.12.3_1,CHN,China,CHN.12_1,Henan,河南,Jiaozuo,Jiāozuò,焦作市,Dìjíshì,Prefecture City,NA,NA,2.00740524321373
CHN.12.4_1,CHN,China,CHN.12_1,Henan,河南,Jiyuan shi,Jǐyuán,济源市,Dìjíshì,Prefecture City,NA,NA,1.13381531321541
CHN.12.5_1,CHN,China,CHN.12_1,Henan,河南,Kaifeng,Kāifēng,开封市,Dìjíshì,Prefecture City,NA,NA,1.7899985529645
CHN.12.6_1,CHN,China,CHN.12_1,Henan,河南,Luohe,Luòhé,漯河市,Dìjíshì,Prefecture City,NA,NA,2.24939440877076
CHN.12.7_1,CHN,China,CHN.12_1,Henan,河南,Luoyang,Luòyáng,洛阳市,Dìjíshì,Prefecture City,NA,NA,1.26263899357522
CHN.12.8_1,CHN,China,CHN.12_1,Henan,河南,Nanyang,Nányáng,南阳市,Dìjíshì,Prefecture City,NA,NA,0.668279123416383
CHN.12.9_1,CHN,China,CHN.12_1,Henan,河南,Pingdingshan,Píngdǐngshān,平顶山市,Dìjíshì,Prefecture City,NA,NA,1.34980496287388
CHN.12.10_1,CHN,China,CHN.12_1,Henan,河南,Puyang,Púyáng,濮阳市,Dìjíshì,Prefecture City,NA,NA,2.18739424056164
CHN.12.11_1,CHN,China,CHN.12_1,Henan,河南,Sanmenxia,Sānménxiá,三门峡市,Dìjíshì,Prefecture City,NA,NA,0.674839715718364
CHN.12.12_1,CHN,China,CHN.12_1,Henan,河南,Shangqiu,Shāngqiū Xiàn,商丘市,Dìqu,Prefecture,NA,NA,1.4468446474765
CHN.12.13_1,CHN,China,CHN.12_1,Henan,河南,Xinxiang,Xīnxiāng,新乡市,Dìjíshì,Prefecture City,NA,NA,1.76782565744504
CHN.12.14_1,CHN,China,CHN.12_1,Henan,河南,Xinyang,Xìnyáng,信阳市,Dìjíshì,Prefecture City,NA,NA,0.598227329312419
CHN.12.15_1,CHN,China,CHN.12_1,Henan,河南,Xuchang,Xǔchāng,许昌市,Dìjíshì,Prefecture City,NA,NA,1.79671147888486
CHN.12.16_1,CHN,China,CHN.12_1,Henan,河南,Zhengzhou,Zhèngzhōu,郑州市,Dìjíshì,Prefecture City,NA,NA,5.26310555506037
CHN.12.17_1,CHN,China,CHN.12_1,Henan,河南,Zhoukou,Zhōukǒu,周口市,Dìjíshì,Prefecture City,NA,NA,1.23514875108133
CHN.12.18_1,CHN,China,CHN.12_1,Henan,河南,Zhumadian,Zhùmǎdiàn,驻马店市,Dìjíshì,Prefecture City,NA,NA,1.09497300176439
HKG.1_1,CHN,China,CHN.HKG,Hong Kong,NA,Central and Western,NA,NA,District,District,NA,HK.CW,40.2021304308358
HKG.2_1,CHN,China,CHN.HKG,Hong Kong,NA,Eastern,NA,NA,District,District,NA,HK.EA,31.6604600875608
HKG.3_1,CHN,China,CHN.HKG,Hong Kong,NA,Islands,NA,NA,District,District,NA,HK.IS,6.02081160067888
HKG.4_1,CHN,China,CHN.HKG,Hong Kong,NA,Kowloon City,NA,NA,District,District,NA,HK.KC,70.0710546705458
HKG.5_1,CHN,China,CHN.HKG,Hong Kong,NA,Kwai Tsing,NA,NA,District,District,NA,HK.KI,54.5779039313994
HKG.6_1,CHN,China,CHN.HKG,Hong Kong,NA,Kwun Tong,NA,NA,District,District,NA,HK.KU,63.5935416708187
HKG.7_1,CHN,China,CHN.HKG,Hong Kong,NA,North,<Null>,NA,District,District,NA,HK.NO,12.4122082563844
HKG.8_1,CHN,China,CHN.HKG,Hong Kong,NA,Sai Kung,<Null>,NA,District,District,NA,HK.SK,7.13615478165198
HKG.9_1,CHN,China,CHN.HKG,Hong Kong,NA,Sha Tin,NA,NA,District,District,NA,HK.ST,20.9831431569724
HKG.10_1,CHN,China,CHN.HKG,Hong Kong,NA,Sham Shui Po,NA,NA,District,District,NA,HK.SS,76.9902104513986
HKG.11_1,CHN,China,CHN.HKG,Hong Kong,NA,Southern,NA,NA,District,District,NA,HK.SO,13.6413156643757
HKG.12_1,CHN,China,CHN.HKG,Hong Kong,NA,Tai Po,NA,NA,District,District,NA,HK.TP,6.75707856894203
HKG.13_1,CHN,China,CHN.HKG,Hong Kong,NA,Tsuen Wan,NA,NA,District,District,NA,HK.TW,11.1736388385499
HKG.14_1,CHN,China,CHN.HKG,Hong Kong,NA,Tuen Mun,NA,NA,District,District,NA,HK.TM,14.8676523167883
