province,year,energy_total,es
安徽,2017,9654.0272,0.438472539936494
安徽,2018,9715.30296,0.400115200730704
安徽,2019,9999.82186,0.387550219719614
安徽,2020,10806.021928,0.399026251911193
安徽,2021,11112.903373,0.374463780465375
安徽,2022,11363.53041,0.347723179191105
山东,2015,26049.924829,0.421046548195396
山东,2016,25574.604866,0.363065762175049
山东,2017,25277.105131,0.343575856965881
山东,2018,27169.006517,0.30244854620865
山东,2019,29138.990719,0.299959900474547
山东,2020,29920.360577,0.302354312967543
山东,2021,31458.278822,0.273702856940111
山东,2022,33103.34918,0.24930402788326
山西,2015,12415.193523,0.599653158946574
山西,2016,12710.090944,0.601326812504671
山西,2017,12828.915963,0.570845105940461
山西,2018,12647.94343,0.54779645776768
山西,2019,13264.815614,0.532069395186393
山西,2020,13146.534735,0.528212004606247
山西,2021,13820.306501,0.524693696009948
山西,2022,14230.14059,0.458715665858365
广东,2015,19081.410479,0.225392399200952
广东,2016,12504.910351,0.32312069559754
广东,2017,19714.056787,0.189688730655679
广东,2018,20481.567046,0.171627155485962
广东,2019,20975.654128,0.175507318224026
广东,2020,21251.438854,0.173120933094256
广东,2021,22060.882597,0.13453674702043
广东,2022,21626.865175,0.139179266095369
广西,2015,7134.901197,0.44074446277157
广西,2016,7498.864224,0.446588924664333
广西,2017,7820.285511,0.423862270033174
广西,2018,7441.60292,0.40317647034572
广西,2019,7656.171068,0.387088100915981
广西,2020,8439.612426,0.427856273218867
广西,2021,8933.893129,0.4177058717981
广西,2022,9050.22203,0.413479646310954
新疆,2015,9860.337452,0.281911806318168
新疆,2016,10561.486921,0.303429135970238
新疆,2017,11333.73657,0.315357466879963
新疆,2018,11563.004556,0.278665532422367
新疆,2019,12117.89725,0.283628755145617
新疆,2020,12205.351799,0.262480437578414
新疆,2021,13665.754264,0.260371796994286
新疆,2022,13886.790016,0.249264618606011
江苏,2015,20405.266336,0.363231202227617
江苏,2016,20983.29182,0.348790569934513
江苏,2017,21313.757759,0.331560618212242
江苏,2018,21908.21229,0.301319363151013
江苏,2019,22894.145881,0.317285609419849
江苏,2020,22807.822147,0.298029367433229
江苏,2021,23730.74461,0.276667885053776
江苏,2022,24214.921573,0.273866864982722
江西,2015,6336.659031,0.519209489401987
江西,2016,6441.281408,0.498235560709103
江西,2017,6674.406514,0.482443162286534
江西,2018,6815.951402,0.437386791391328
江西,2019,7016.836452,0.420843640463975
江西,2020,6955.926932,0.406944310323011
江西,2021,7144.453924,0.376376704868508
江西,2022,7366.637662,0.364149351587859
河北,2015,22955.228082,0.637128794135934
河北,2016,23083.438968,0.619187969730767
河北,2017,22772.322532,0.588564846346521
河北,2018,26003.628436,0.573307962182728
河北,2019,24840.812089,0.569807935315766
河北,2020,25218.54947,0.572171275717707
河北,2021,24610.964556,0.507992169610112
河北,2022,24555.436344,0.500861981098746
河南,2015,15508.759386,0.44474052755157
河南,2016,15717.818221,0.401763132656858
河南,2017,15540.373375,0.369317779728056
河南,2018,14797.323694,0.337963641291958
河南,2019,14648.993467,0.318746077641349
河南,2020,15142.384157,0.331796639017207
河南,2021,15826.823937,0.301839563011245
河南,2022,16304.674861,0.288330190946946
浙江,2015,13359.504262,0.215705747270639
浙江,2016,13480.137842,0.185389335798455
浙江,2017,13747.525064,0.148109776597677
浙江,2018,14053.076375,0.127407297891384
浙江,2019,14342.404594,0.126272215731359
浙江,2020,16113.299473,0.113531226678021
浙江,2021,17176.480227,0.115393079478786
