province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
重庆,2016,0.447845187902343,0.494959838,0.4452,0.6333,0.0172,0.2333,0.349493658,0.42901501110364415,0.018830176798698833,0.4010622477018875
陕西,2016,0.3619143908629094,0.532504399,0.4892,0.5639,0.0219,0.1019,0.447293981,0.3417485985361523,0.020165792326757102,0.42950940310966923
青海,2016,0.9165687949740784,0.205234075,0.4859,0.5355,0.0054,0.0392,0.310754568,1.0076404206253642,-0.09107162565128568,-1.9397263911028908
黑龙江,2016,0.3351631835018215,0.283754382,0.286,0.6109,0.0099,0.0711,0.433005381,0.3109159452123526,0.024247238289468877,0.5164397548093987
上海,2017,0.526742504128084,2.839895937,0.3046,0.891,0.0393,1.0526,0.123679962,0.542852176488717,-0.01610967236063294,-0.3431184675410409
云南,2017,0.304365535922594,0.382145727,0.3789,0.4629,0.0096,0.0966,0.508493565,0.2804329403496447,0.023932595572949272,0.5097382077947632
内蒙古,2017,0.341799003990847,0.470454956,0.3976,0.646,0.0082,0.0585,0.484921791,0.33111845820345004,0.010680545787396953,0.22748398732359984
北京,2017,0.7471259167146342,1.734540572,0.1901,0.8693,0.0564,0.7833,0.044144942,0.8484317762455631,-0.1013058595309288,-2.157704421110559
吉林,2017,0.3684952616031422,0.513926013,0.4683,0.5971,0.0086,0.084,0.391752022,0.35175521562054834,0.01674004598259387,0.3565447388086114
四川,2017,0.3857795013915419,0.579964612,0.3875,0.5178,0.0172,0.1245,0.282747027,0.42075475214561164,-0.03497525075406979,-0.7449347306358607
天津,2017,0.5881206342708691,1.921635006,0.4094,0.8357,0.0247,0.4122,0.235691868,0.6048244548504939,-0.01670382057962473,-0.3557731771980096
宁夏,2017,0.527162304551793,0.770166358,0.4358,0.6095,0.0113,0.0992,0.558523946,0.5178697455293522,0.009292559022440805,0.19792138163567824
安徽,2017,0.3662934737708983,0.98420296,0.4752,0.5429,0.0209,0.1354,0.43847254,0.3435611638367236,0.022732309934174764,0.4841734315678898
山东,2017,0.5244775436128531,1.009192493,0.4535,0.6079,0.0241,0.2468,0.343575857,0.4958436256182737,0.028633917994579403,0.6098712526273826
山西,2017,0.2953476054892521,0.698488415,0.4365,0.5859,0.0095,0.0749,0.570845106,0.2758630813323778,0.01948452415687428,0.414999133428089
广东,2017,0.868013691760749,1.613305775,0.4237,0.7074,0.0261,0.7599,0.189688731,0.9510858272687905,-0.08307213550804148,-1.7693459676147638
