province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
青海,2018,0.984602533,0.266777757,0.4352,0.5727,0.006,0.0168,0.236363451,0.9929276411988861,-0.008325108198886103,-0.17646629066574435
黑龙江,2018,0.359519376,0.39472568,0.2464,0.6346,0.0083,0.1069,0.378213378,0.32101641411722276,0.03850296188277724,0.8161425294156962
上海,2019,0.543637856,2.846855368,0.2699,0.8922,0.04,0.8925,0.133647517,0.5424558919239484,0.0011819640760516448,0.02505394659361992
云南,2019,0.297377603,0.383205389,0.3428,0.4867,0.0095,0.1001,0.482101378,0.3089547352171765,-0.011577132217176479,-0.24539904228336248
内蒙古,2019,0.35899675,0.284720612,0.3962,0.6646,0.0086,0.0638,0.497306803,0.3687532148559099,-0.009756464855909919,-0.20680658100797786
北京,2019,1.003875561,1.714485943,0.4036,0.8735,0.0631,0.8111,0.012138103,1.0024875661596648,0.0013879948403351869,0.029421155267377416
吉林,2019,0.399809264,0.469356626,0.3526,0.6163,0.0127,0.1111,0.352469158,0.41666699068694063,-0.016857726686940622,-0.3573311513115675
四川,2019,0.471898664,0.419994898,0.3725,0.5536,0.0187,0.1457,0.278343432,0.45515554388316737,0.016743120116832676,0.35490184999442964
天津,2019,0.743657229,1.964186178,0.3523,0.8431,0.0328,0.5208,0.222030143,0.7742289486226923,-0.030571719622692364,-0.6480249664276446
宁夏,2019,0.516476487,0.661117405,0.4228,0.6363,0.0145,0.0642,0.539957083,0.5447435742656536,-0.028267087265653527,-0.5991739588876692
安徽,2019,0.371230979,0.827452384,0.4133,0.5702,0.0203,0.1276,0.38755022,0.36517174099805694,0.006059238001943086,0.12843691984770617
山东,2019,0.557235009,1.057634348,0.3984,0.6186,0.021,0.288,0.2999599,0.5606621554889699,-0.0034271464889699486,-0.07264480100782038
山西,2019,0.314934779,0.637306684,0.4377,0.6129,0.0112,0.085,0.532069395,0.3218519552589512,-0.006917176258951203,-0.14662253115960594
广东,2019,1.00826994,1.139376992,0.4044,0.7265,0.0288,0.6639,0.175507318,0.9848723696834311,0.023397570316568816,0.4959554093132717
广西,2019,0.343640645,0.44726732,0.3333,0.5298,0.0079,0.2211,0.387088101,0.354591884233314,-0.010951239233313984,-0.2321320659777924
新疆,2019,0.297899103,0.308142498,0.3527,0.5551,0.0047,0.1207,0.283628755,0.29254527811959996,0.005353824880400013,0.11348436500135527
江苏,2019,0.861076903,1.550413853,0.4443,0.7247,0.0279,0.4354,0.317285609,0.843010197207222,0.01806670579277792,0.3829577321562519
江西,2019,0.430202591,0.46030291,0.4419,0.5907,0.0155,0.1418,0.42084364,0.43890062414334774,-0.008698033143347692,-0.18437113467181632
河北,2019,0.303198573,0.718325231,0.3873,0.5877,0.0161,0.114,0.569807935,0.2974316863820294,0.00576688661797062,0.12223998365563113
河南,2019,0.407704158,0.812690586,0.4351,0.5401,0.0146,0.1053,0.318746078,0.3672652224125321,0.040438935587467875,0.8571791250168064
浙江,2019,0.659245122,1.287853596,0.4261,0.7158,0.0268,0.4946,0.126272216,0.5934544306845042,0.06579069131549573,1.3945571612311225
海南,2019,0.914694028,0.76086507,0.207,0.5937,0.0056,0.1706,0.097539964,0.9272312837014661,-0.01253725570146616,-0.2657506612420614
湖北,2019,0.441150044,0.559431074,0.4167,0.6183,0.0209,0.0861,0.365798707,0.43455322511710565,0.006596818882894397,0.13983195541096696
湖南,2019,0.465651179,0.485284954,0.376,0.5745,0.0198,0.1092,0.4520406,0.4701419816543264,-0.004490802654326373,-0.09519098942484445
甘肃,2019,0.409312961,0.323718915,0.3283,0.507,0.0126,0.0436,0.320141132,0.4163026958948255,-0.0069897348948255245,-0.14816054760607342
福建,2019,0.442087796,0.840055453,0.4855,0.6787,0.0178,0.3139,0.277830743,0.435610753597002,0.006477042402997939,0.13729306815432374
贵州,2019,0.343418941,0.469916807,0.3613,0.5148,0.0086,0.027,0.458284778,0.34732322460945053,-0.0039042836094505488,-0.08275861764282962
辽宁,2019,0.365590533,0.750192477,0.3826,0.7121,0.0204,0.2914,0.34406616,0.3992945350160277,-0.033704002016027676,-0.7144195696045089
重庆,2019,0.465779981,0.641754576,0.4023,0.6824,0.0199,0.2454,0.28106942,0.45924532850480476,0.006534652495195246,0.1385142221660314
陕西,2019,0.366068896,0.607055195,0.4645,0.6128,0.0227,0.1363,0.383462433,0.372730710895443,-0.006661814895443038,-0.1412096678644884
青海,2019,1.001004614,0.253769652,0.391,0.5878,0.0069,0.0127,0.239388717,0.9990322936769451,0.0019723203230547943,0.04180703038318628
黑龙江,2019,0.358799068,0.380708503,0.2656,0.6462,0.0108,0.1371,0.381421588,0.3692552141054952,-0.010456146105495211,-0.22163763807210224
上海,2020,0.551350379,2.854096617,0.2659,0.893,0.0417,0.9011,0.140362444,0.5754935997696641,-0.02414322076966411,-0.5117608699087941
云南,2020,0.28771061,0.367286519,0.338,0.5005,0.01,0.1098,0.465373114,0.30730561235181153,-0.019595002351811542,-0.41535284563309127
内蒙古,2020,0.358878497,0.302753348,0.3956,0.6748,0.0093,0.0607,0.481107018,0.37621722406717173,-0.017338727067171694,-0.3675268569865456
北京,2020,1.013318017,1.859683542,0.1583,0.8755,0.0644,0.6457,0.010624403,0.9444777149162316,0.06884030208376843,1.459199384178255
吉林,2020,0.409400399,0.521887177,0.3514,0.6264,0.013,0.1042,0.313532218,0.4286299305939802,-0.01922953159398015,-0.40760600710071837
四川,2020,0.501304415,0.442005887,0.3616,0.5673,0.0217,0.1664,0.258091057,0.4832479100164771,0.018056504983522903,0.3827415068618753
天津,2020,0.766063482,2.014417112,0.3411,0.847,0.0344,0.5231,0.227009038,0.8047640125009071,-0.03870053050090715,-0.8203303670221794
宁夏,2020,0.506345306,0.662347369,0.4104,0.6496,0.0152,0.0315,0.524535009,0.5278047417404033,-0.021459435740403213,-0.4548730099862895
安徽,2020,0.360467643,0.859073852,0.4052,0.5833,0.0228,0.1409,0.399026252,0.38573487914593646,-0.025267236145936463,-0.5355864850675955
山东,2020,0.580141461,1.112607556,0.2819,0.6305,0.023,0.3026,0.302354313,0.5718544750806569,0.008286985919343093,0.17565821741288573
山西,2020,0.318972643,0.686476063,0.4348,0.6253,0.012,0.0852,0.528212005,0.3312263762016225,-0.012253733201622461,-0.25974086981684114
广东,2020,1.01343133,1.170293791,0.3923,0.7415,0.0314,0.6399,0.173120933,0.9861881286896563,0.02724320131034364,0.5774707747029328
广西,2020,0.336151352,0.448550708,0.3208,0.542,0.0078,0.2198,0.427856273,0.34190161412823744,-0.0057502621282374145,-0.12188759639923176
