province,year,eff,lntl,ind,urb,rd,open,es_proxy
浙江,2016,0.454526452,1.203758524,0.4486 ,0.6772,0.0243,0.47,0.6645065293113206
海南,2016,1.024061525,1.111663466,0.2235 ,0.567,0.0054,0.1849,0.43981905583544006
湖北,2016,0.327998465,0.497452662,0.4486 ,0.5857,0.0186,0.0796,0.6770140295625263
湖南,2016,0.250279804,0.374257543,0.4228 ,0.527,0.015,0.0552,0.7095834742670997
甘肃,2016,0.267251018,0.322591625,0.3494 ,0.4607,0.0122,0.0625,0.7491794542340077
福建,2016,0.410194966,1.137346801,0.4892 ,0.6439,0.0159,0.3591,0.6332777995820477
贵州,2016,0.247726632,0.472858462,0.3965 ,0.4556,0.0063,0.0319,0.7534528555557289
辽宁,2016,0.484691916,0.686396728,0.3869 ,0.6887,0.0169,0.2567,0.7944997249378495
重庆,2016,0.293473432,0.494959838,0.4452 ,0.6333,0.0172,0.2333,0.6298840481024263
陕西,2016,0.320640844,0.532504399,0.4892 ,0.5639,0.0219,0.1019,0.7712083409182123
青海,2016,0.923801317,0.205234075,0.4859 ,0.5355,0.0054,0.0392,0.6284746288821004
黑龙江,2016,0.334201553,0.283754382,0.2860 ,0.6109,0.0099,0.0711,0.7605893119475693
上海,2017,0.421409255,2.839895937,0.3046 ,0.891,0.0393,1.0526 ,0.48359745653162006
云南,2017,0.415547537,0.382145727,0.3789 ,0.4629,0.0096,0.0966 ,0.6528040026056036
内蒙古,2017,0.526462233,0.470454956,0.3976 ,0.646,0.0082,0.0585 ,0.9111251968601445
北京,2017,0.839462611,1.734540572,0.1901 ,0.8693,0.0564,0.7833 ,0.09021333915732346
吉林,2017,0.510834249,0.513926013,0.4683 ,0.5971,0.0086,0.0840 ,0.8254525410081937
四川,2017,0.460454653,0.579964612,0.3875 ,0.5178,0.0172,0.1245 ,0.5491985372827268
天津,2017,0.714193663,1.921635006,0.4094 ,0.8357,0.0247,0.4122 ,0.6690079955703584
宁夏,2017,0.565853272,0.770166358,0.4358 ,0.6095,0.0113,0.0992 ,0.9194189345941538
安徽,2017,0.241723989,0.98420296,0.4752 ,0.5429,0.0209,0.1354 ,0.7642779053687884
山东,2017,0.660918129,1.009192493,0.4535 ,0.6079,0.0241,0.2468 ,0.8075224308529224
山西,2017,0.299798517,0.698488415,0.4365 ,0.5859,0.0095,0.0749 ,0.8974920066485944
广东,2017,0.617079571,1.613305775,0.4237 ,0.7074,0.0261,0.7599 ,0.5995569662280923
广西,2017,0.39179608,0.470180113,0.4022 ,0.5059,0.0077,0.2112 ,0.6775988594432003
新疆,2017,0.391153655,0.575053302,0.3980 ,0.519,0.0052,0.1279 ,0.8100436084096266
江苏,2017,0.644405657,1.607411526,0.4502 ,0.7018,0.0263,0.4658 ,0.7748187368637904
江西,2017,0.240739802,0.515992826,0.4812 ,0.557,0.0128,0.1505 ,0.7334292646113691
河北,2017,0.492158661,0.847509626,0.4658 ,0.5574,0.0133,0.0993 ,0.8882755546840528
河南,2017,0.705431135,0.879819394,0.4737 ,0.5056,0.0131,0.1175 ,0.756338567689869
浙江,2017,0.50373083,1.352066967,0.4295 ,0.6891,0.0245,0.4946 ,0.661505149670611
