province,year,eff,lntl,ind,urb,rd,open,es
新疆,2020,0.380127878,0.662339492,0.3439 ,0.5653,0.0045,0.1075 ,0.262480437578414
江苏,2020,0.903295013,1.734346402,0.4306 ,0.7344,0.0293,0.4333 ,0.298029367433229
江西,2020,0.267935094,0.623416793,0.4315 ,0.6044,0.0168,0.1567 ,0.406944310323011
河北,2020,0.630223207,0.985940229,0.3755 ,0.6007,0.0175,0.1231 ,0.572171275717707
河南,2020,0.921994713,1.039442305,0.4159 ,0.5543,0.0164,0.1214 ,0.331796639017207
浙江,2020,0.682804543,1.522627103,0.4088 ,0.7217,0.0288,0.5239 ,0.113531226678021
海南,2020,0.768165019,1.25154021,0.1907 ,0.6027,0.0066,0.1692 ,0.0902138413614696
湖北,2020,0.603356127,0.76171679,0.3919 ,0.6289,0.0231,0.0991 ,0.368958083864456
湖南,2020,0.420229795,0.567100637,0.3815 ,0.5876,0.0215,0.1169 ,0.447367064966972
甘肃,2020,0.258811917,0.492763806,0.3163 ,0.5223,0.0122,0.0424 ,0.31429591324146
福建,2020,0.745842872,1.425260825,0.4630 ,0.6875,0.0192,0.3211 ,0.258692787024522
贵州,2020,0.312239372,0.582417501,0.3484 ,0.5315,0.0091,0.0307 ,0.444596744882493
辽宁,2020,0.446001483,0.864012434,0.3743 ,0.7214,0.0219,0.2616 ,0.344010249062947
重庆,2020,0.354272931,0.703892989,0.3996 ,0.6946,0.0211,0.2605 ,0.295658934133405
陕西,2020,0.385059213,0.740290689,0.4340 ,0.6266,0.0242,0.1443 ,0.401887187528775
青海,2020,1.084469078,0.393029254,0.3804 ,0.6008,0.0071,0.0077 ,0.232141538806671
黑龙江,2020,0.461025152,0.460408338,0.2543 ,0.6561,0.0126,0.1124 ,0.324169528239629
上海,2021,0.587942623,2.866260881,0.2649 ,0.893,0.0421,0.9396 ,0.129882817290061
云南,2021,0.612748036,0.2841577,0.3532 ,0.5105,0.0104,0.1159 ,0.436443065868642
内蒙古,2021,0.42476719,0.343528085,0.4570 ,0.6821,0.0093,0.0603 ,0.440263551214842
北京,2021,0.878245542,1.893791737,0.1805 ,0.875,0.0653,0.7558 ,0.00682217825586573
吉林,2021,0.775645038,0.427538332,0.3603 ,0.6336,0.0139,0.1137 ,0.288922642266815
四川,2021,0.585647966,0.590758239,0.3696 ,0.5782,0.0226,0.1768 ,0.23730056065349
天津,2021,0.980614581,2.082668701,0.3730 ,0.8488,0.0366,0.5459 ,0.187630349421288
宁夏,2021,0.506562041,0.690231123,0.4470 ,0.6604,0.0156,0.0473 ,0.529690119735928
安徽,2021,0.313121995,1.033685486,0.4100 ,0.5939,0.0234,0.1609 ,0.374463780465375
山东,2021,0.767350103,1.15797482,0.3994 ,0.6394,0.0234,0.3528 ,0.273702856940111
山西,2021,0.262538141,0.731825661,0.4964 ,0.6342,0.0112,0.0988 ,0.524693696009948
广东,2021,0.915864861,1.943741021,0.4038 ,0.7463,0.0322,0.6648 ,0.13453674702043
广西,2021,0.367929164,0.474314164,0.3309 ,0.5508,0.0081,0.2398 ,0.4177058717981
新疆,2021,0.369816263,0.438465709,0.3733 ,0.5726,0.0049,0.0982 ,0.260371796994286
江苏,2021,0.923719513,1.751566568,0.4449 ,0.7394,0.0295,0.4478 ,0.276667885053776
江西,2021,0.26808595,0.5542652,0.4451 ,0.6146,0.017,0.1680 ,0.376376704868508
河北,2021,0.639110329,0.930924525,0.4051 ,0.6114,0.0185,0.1341 ,0.507992169610112
河南,2021,1.018383271,1.006082929,0.4132 ,0.5645,0.0173,0.1393 ,0.301839563011245
浙江,2021,0.685515224,1.580349151,0.4242 ,0.7266,0.0294,0.5634 ,0.115393079478786
海南,2021,0.473327202,1.380214146,0.1913 ,0.6097,0.0073,0.2268 ,0.0304692495002732
湖北,2021,0.599246198,0.719590632,0.3790 ,0.6409,0.0232,0.1074 ,0.352478011558944
湖南,2021,0.474882506,0.446129998,0.3935 ,0.5971,0.0223,0.1296 ,0.347814285300406
甘肃,2021,0.247267898,0.318286927,0.3384 ,0.5333,0.0126,0.0480 ,0.302220277940193
福建,2021,0.791677614,1.496074243,0.4685 ,0.697,0.0198,0.3776 ,0.235925973313292
贵州,2021,0.310357738,0.46986279,0.3566 ,0.5433,0.0092,0.0334 ,0.374725973700025
辽宁,2021,0.42241641,0.749363841,0.3943 ,0.7281,0.0218,0.2800 ,0.327577124855748
重庆,2021,0.35175125,0.592985578,0.4010 ,0.7032,0.0216,0.2868 ,0.248748211039159
陕西,2021,0.390010619,0.666067254,0.4632 ,0.6363,0.0235,0.1595 ,0.389156041514884
青海,2021,1.002328121,0.208673474,0.3982 ,0.6102,0.008,0.0095 ,0.239684751033958
黑龙江,2021,0.456600231,0.199237623,0.2672 ,0.6569,0.0131,0.1339 ,0.292488381182252
上海,2022,0.722863912,2.878166095,0.2566 ,0.8933,0.0444,0.9364 ,0.137292749194526
云南,2022,0.732001426,0.274027264,0.3616 ,0.5172,0.0108,0.1120 ,0.402316736270471
内蒙古,2022,0.402228931,0.366068414,0.4854 ,0.686,0.009,0.0651 ,0.440982651772354
北京,2022,1.25004307,1.929774651,0.1587 ,0.8757,0.0683,0.8753 ,0.00563741988632412
吉林,2022,1.00502482,0.398531762,0.3541 ,0.6372,0.0143,0.1193 ,0.281200443004392
四川,2022,0.673955408,0.623744516,0.3728 ,0.5835,0.0214,0.1770 ,0.204858095863449
天津,2022,1.019615878,2.107440778,0.3702 ,0.8511,0.0349,0.5090 ,0.179341939234138
宁夏,2022,0.48502213,0.731129463,0.4831 ,0.6634,0.0157,0.0423 ,0.513603623069122
安徽,2022,0.353385302,1.070435696,0.4127 ,0.6015,0.0256,0.1671 ,0.347723179191105
山东,2022,0.819770486,1.197341238,0.4005 ,0.6454,0.0249,0.3683 ,0.24930402788326
山西,2022,0.252137244,0.756578197,0.5398 ,0.6396,0.0107,0.0714 ,0.458715665858365
广东,2022,1.031454629,1.951320749,0.4093 ,0.7479,0.0342,0.6428 ,0.139179266095369
广西,2022,0.382015161,0.474905392,0.3399 ,0.5565,0.0083,0.2458 ,0.413479646310954
新疆,2022,0.370949729,0.500996017,0.4098 ,0.5789,0.0051,0.1385 ,0.249264618606011
江苏,2022,1.021278132,1.770671132,0.4548 ,0.7442,0.0312,0.4412 ,0.273866864982722
江西,2022,0.275700634,0.578715966,0.4477 ,0.6207,0.0174,0.2065 ,0.364149351587859
河北,2022,0.67582358,0.962061646,0.4024 ,0.6165,0.02,0.1298 ,0.500861981098746
河南,2022,1.022356007,1.033653278,0.4151 ,0.5707,0.0186,0.1381 ,0.288330190946946
浙江,2022,0.76089634,1.617957356,0.4273 ,0.7338,0.0311,0.6026 ,0.0480452533769846
海南,2022,0.455431,1.364573698,0.1923 ,0.6149,0.01,0.2941 ,0.0792695243253355
湖北,2022,0.64746419,0.7808928,0.3953 ,0.6467,0.0233,0.1140 ,0.378192111782762
湖南,2022,0.539133442,0.467838783,0.3941 ,0.6031,0.0241,0.1445 ,0.338784226398475
甘肃,2022,0.244399588,0.328631359,0.3522 ,0.5419,0.0129,0.0507 ,0.292894502944519
福建,2022,0.941455635,1.484745575,0.4722 ,0.7011,0.0204,0.3732 ,0.22858660339267
贵州,2022,0.321704596,0.42375074,0.3527 ,0.5481,0.0099,0.0362 ,0.338654642815194
辽宁,2022,0.415924318,0.717928124,0.4057 ,0.73,0.0214,0.2727 ,0.324968646972772
重庆,2022,0.358537795,0.63002542,0.4015 ,0.7096,0.0236,0.2782 ,0.24092591613532
陕西,2022,0.408406787,0.69767463,0.4862 ,0.6402,0.0235,0.1451 ,0.378796713276187
青海,2022,1.003672727,0.205893713,0.4392 ,0.6143,0.008,0.0112 ,0.230610860054965
黑龙江,2022,0.457801778,0.184944749,0.2924 ,0.6621,0.0137,0.1668 ,0.272450704818613
