province,year,ind,urb,rd,open,es,eff,lntl_1,lntl
甘肃,2017,0.3434,0.4812,0.0119,0.0437,0.364730401,0.393864769,0.32419197,0.172491054
福建,2017,0.4771,0.6578,0.0169,0.3601,0.288372825,0.405297621,0.811292235,0.652953535
贵州,2017,0.4009,0.4776,0.0071,0.0407,0.558226877,0.347159913,0.488576555,0.355476009
辽宁,2017,0.393,0.6949,0.0184,0.2883,0.356825877,0.340707104,0.739182936,0.615884087
重庆,2017,0.4419,0.65,0.0188,0.2321,0.346142945,0.449897459,0.627281838,0.494959841
陕西,2017,0.497,0.5807,0.021,0.1242,0.426510518,0.366816448,0.589001449,0.454795006
青海,2017,0.4429,0.5545,0.0068,0.017,0.242700133,0.939880187,0.266777757,0.092724868
黑龙江,2017,0.2553,0.619,0.0092,0.0806,0.423307433,0.338899161,0.39472568,0.263946458
上海,2018,0.2978,0.8913,0.0416,1.0408,0.133086962,0.539382332,2.846855368,2.839895937
云南,2018,0.3891,0.4744,0.0105,0.1102,0.496666828,0.299643768,0.383205389,0.370864284
内蒙古,2018,0.3937,0.6551,0.0075,0.0598,0.492439433,0.348335889,0.284720612,0.296871096
北京,2018,0.1863,0.8709,0.0617,0.8966,0.016323334,0.885499049,1.714485943,1.734540572
吉林,2018,0.4253,0.6085,0.0076,0.0904,0.337867831,0.392802798,0.469356626,0.490929682
四川,2018,0.3767,0.535,0.0181,0.1462,0.294511973,0.430470874,0.419994898,0.396095847
天津,2018,0.4046,0.8395,0.0262,0.4296,0.22606132,0.672082474,1.964186178,1.921635006
宁夏,2018,0.4454,0.6215,0.0123,0.0672,0.553266134,0.51980504,0.661117405,0.665307585
安徽,2018,0.4613,0.5565,0.0216,0.138,0.400115201,0.369762786,0.827452384,0.796259296
山东,2018,0.4399,0.6146,0.0215,0.2524,0.302448546,0.535723521,1.057634348,1.004488365
山西,2018,0.4215,0.5985,0.0105,0.0814,0.547796458,0.307449235,0.637306684,0.62745591
广东,2018,0.4183,0.7181,0.0278,0.7361,0.171627155,0.9388332,1.139376992,1.062789731
广西,2018,0.3967,0.5182,0.0071,0.2017,0.40317647,0.339927313,0.44726732,0.414190821
新疆,2018,0.4036,0.5401,0.0053,0.1087,0.278665532,0.296402016,0.308142498,0.325630715
江苏,2018,0.4455,0.7119,0.027,0.473,0.301319363,0.801294222,1.550413853,1.511884306
江西,2018,0.4662,0.5734,0.0141,0.1438,0.437386791,0.427352685,0.46030291,0.436895052
河北,2018,0.4454,0.5733,0.0139,0.0987,0.573307962,0.281944977,0.718325231,0.712887605
河南,2018,0.4585,0.5224,0.014,0.1147,0.337963641,0.371070156,0.812690586,0.780375705
浙江,2018,0.4183,0.7002,0.0257,0.5073,0.127407298,0.60798196,1.287853596,1.248463654
海南,2018,0.2268,0.5913,0.0056,0.1755,0.101810757,0.906495004,0.76086507,0.733063416
湖北,2018,0.4341,0.61,0.0209,0.0885,0.392890652,0.413035271,0.559431074,0.542765316
湖南,2018,0.3968,0.5609,0.0181,0.0844,0.472482466,0.428155679,0.485284954,0.472199797
甘肃,2018,0.3389,0.4969,0.0118,0.048,0.319567599,0.400132246,0.323718915,0.32419197
福建,2018,0.4813,0.6698,0.018,0.3448,0.285752506,0.410912519,0.840055453,0.811292235
贵州,2018,0.3887,0.4954,0.0082,0.0338,0.475500718,0.34549139,0.469916807,0.488576555
辽宁,2018,0.396,0.7026,0.0182,0.2985,0.349039977,0.353519981,0.750192477,0.739182936
重庆,2018,0.409,0.6661,0.0201,0.2564,0.306731459,0.463828533,0.641754576,0.627281838
陕西,2018,0.4975,0.5965,0.0218,0.1438,0.397156775,0.369921668,0.607055195,0.589001449
青海,2018,0.4352,0.5727,0.006,0.0168,0.236363451,0.984602533,0.253769652,0.266777757
黑龙江,2018,0.2464,0.6346,0.0083,0.1069,0.378213378,0.359519376,0.380708503,0.39472568
上海,2019,0.2699,0.8922,0.04,0.8925,0.133647517,0.543637856,2.854096617,2.846855368
云南,2019,0.3428,0.4867,0.0095,0.1001,0.482101378,0.297377603,0.367286519,0.383205389
内蒙古,2019,0.3962,0.6646,0.0086,0.0638,0.497306803,0.35899675,0.302753348,0.284720612
北京,2019,0.4036,0.8735,0.0631,0.8111,0.012138103,1.003875561,1.859683542,1.714485943
吉林,2019,0.3526,0.6163,0.0127,0.1111,0.352469158,0.399809264,0.521887177,0.469356626
四川,2019,0.3725,0.5536,0.0187,0.1457,0.278343432,0.471898664,0.442005887,0.419994898
天津,2019,0.3523,0.8431,0.0328,0.5208,0.222030143,0.743657229,2.014417112,1.964186178
宁夏,2019,0.4228,0.6363,0.0145,0.0642,0.539957083,0.516476487,0.662347369,0.661117405
安徽,2019,0.4133,0.5702,0.0203,0.1276,0.38755022,0.371230979,0.859073852,0.827452384
山东,2019,0.3984,0.6186,0.021,0.288,0.2999599,0.557235009,1.112607556,1.057634348
山西,2019,0.4377,0.6129,0.0112,0.085,0.532069395,0.314934779,0.686476063,0.637306684
广东,2019,0.4044,0.7265,0.0288,0.6639,0.175507318,1.00826994,1.170293791,1.139376992
广西,2019,0.3333,0.5298,0.0079,0.2211,0.387088101,0.343640645,0.448550708,0.44726732
新疆,2019,0.3527,0.5551,0.0047,0.1207,0.283628755,0.297899103,0.326874367,0.308142498
江苏,2019,0.4443,0.7247,0.0279,0.4354,0.317285609,0.861076903,1.58700043,1.550413853
江西,2019,0.4419,0.5907,0.0155,0.1418,0.42084364,0.430202591,0.475369569,0.46030291
河北,2019,0.3873,0.5877,0.0161,0.114,0.569807935,0.303198573,0.779476728,0.718325231
河南,2019,0.4351,0.5401,0.0146,0.1053,0.318746078,0.407704158,0.874790499,0.812690586
浙江,2019,0.4261,0.7158,0.0268,0.4946,0.126272216,0.659245122,1.317371898,1.287853596
海南,2019,0.207,0.5937,0.0056,0.1706,0.097539964,0.914694028,0.760414449,0.76086507
湖北,2019,0.4167,0.6183,0.0209,0.0861,0.365798707,0.441150044,0.592618523,0.559431074
湖南,2019,0.376,0.5745,0.0198,0.1092,0.4520406,0.465651179,0.504442821,0.485284954
甘肃,2019,0.3283,0.507,0.0126,0.0436,0.320141132,0.409312961,0.33415703,0.323718915
福建,2019,0.4855,0.6787,0.0178,0.3139,0.277830743,0.442087796,0.865206864,0.840055453
贵州,2019,0.3613,0.5148,0.0086,0.027,0.458284778,0.343418941,0.520272355,0.469916807
辽宁,2019,0.3826,0.7121,0.0204,0.2914,0.34406616,0.365590533,0.783250935,0.750192477
重庆,2019,0.4023,0.6824,0.0199,0.2454,0.28106942,0.465779981,0.674275149,0.641754576
陕西,2019,0.4645,0.6128,0.0227,0.1363,0.383462433,0.366068896,0.619673731,0.607055195
青海,2019,0.391,0.5878,0.0069,0.0127,0.239388717,1.001004614,0.259306764,0.253769652
黑龙江,2019,0.2656,0.6462,0.0108,0.1371,0.381421588,0.358799068,0.396376236,0.380708503
上海,2020,0.2659,0.893,0.0417,0.9011,0.140362444,0.551350379,2.865317251,2.854096617
